"Mes","Nom mes","Any","Regió Policial (RP)","Àrea Regional de Trànsit (ART)/ Àrea Bàsica Policial (ABP)","Autobús","Metro","Taxi","Tren"
"1","gener","2011","RP Terres de l'Ebre","ABP Baix Ebre",,,,"2"
"1","gener","2011","RP Girona","ABP Gironès - Pla de l'Estany","1",,,"1"
"1","gener","2011","RP Girona","ABP Selva Interior","1",,,
"1","gener","2011","RP Metropolitana Barcelona","ABP Sant Martí",,"12",,
"1","gener","2011","RP Metropolitana Barcelona","ABP Ciutat Vella","1","31",,"1"
"1","gener","2011","RP Metropolitana Barcelona","ABP Eixample","27","115",,"4"
"1","gener","2011","RP Metropolitana Barcelona","ABP Sants-Montjuïc","10","33","1","3"
"1","gener","2011","RP Metropolitana Barcelona","ABP Les Corts","1","6",,
"1","gener","2011","RP Metropolitana Barcelona","ABP Sarrià-Sant Gervasi","2",,"1",
"1","gener","2011","RP Metropolitana Barcelona","ABP Gràcia","2","3",,
"1","gener","2011","RP Metropolitana Barcelona","ABP Horta-Guinardó",,"5",,
"1","gener","2011","RP Metropolitana Barcelona","ABP Nou Barris",,"3",,"1"
"1","gener","2011","RP Metropolitana Barcelona","ABP Sant Andreu","1","11",,
"1","gener","2011","RP Metropolitana Barcelona","ABP Barcelona","1","8",,"1"
"1","gener","2011","RP Metropolitana Sud","ABP Martorell",,,,"1"
"1","gener","2011","RP Metropolitana Sud","ABP Gavà",,,,"1"
"1","gener","2011","RP Metropolitana Sud","ABP Garraf",,,,"3"
"1","gener","2011","RP Metropolitana Sud","ABP l'Hospitalet de Llobregat",,"9",,"1"
"1","gener","2011","RP Metropolitana Sud","ABP el Prat de Llobregat","3",,,"1"
"1","gener","2011","RP Metropolitana Sud","ABP Sant Boi de Llobregat","1",,,"1"
"1","gener","2011","RP Metropolitana Sud","ABP Cornellà de Llobregat","1",,,
"1","gener","2011","RP Metropolitana Sud","ABP Esplugues de Llobregat",,"1",,
"1","gener","2011","RP Metropolitana Nord","ABP Mataró",,,,"1"
"1","gener","2011","RP Metropolitana Nord","ABP Granollers","2",,,"1"
"1","gener","2011","RP Metropolitana Nord","ABP Badalona",,"2",,
"1","gener","2011","RP Metropolitana Nord","ABP Cerdanyola",,,,"4"
"1","gener","2011","RP Metropolitana Nord","ABP Rubí",,,,"1"
"1","gener","2011","RP Metropolitana Nord","ABP Sabadell",,,,"1"
"1","gener","2011","RP Metropolitana Nord","ABP Terrassa","1",,,
"1","gener","2011","RP Metropolitana Nord","ABP Santa Coloma de Gramenet",,"4",,
"1","gener","2011","RP Ponent","ABP Segrià - Garrigues - Pla d'Urgell","1",,,
"1","gener","2011","RP Camp de Tarragona","ABP Alt Camp - C. de Barberà","1",,,
"1","gener","2011","RP Camp de Tarragona","ABP Baix Camp - Priorat","1",,,"3"
"1","gener","2011","RP Camp de Tarragona","ABP Baix Penedès",,,,"4"
"2","febrer","2011","RP Central","ABP Anoia","1",,,
"2","febrer","2011","RP Terres de l'Ebre","ABP Baix Ebre",,,,"1"
"2","febrer","2011","RP Girona","ABP Gironès - Pla de l'Estany","1",,,
"2","febrer","2011","RP Girona","ABP Alt Empordà - Figueres",,,,"1"
"2","febrer","2011","RP Girona","ABP Selva Interior","1",,,
"2","febrer","2011","RP Metropolitana Barcelona","ABP Sant Martí","1","31","1",
"2","febrer","2011","RP Metropolitana Barcelona","ABP Ciutat Vella","2","41",,"1"
"2","febrer","2011","RP Metropolitana Barcelona","ABP Eixample","27","160","1","8"
"2","febrer","2011","RP Metropolitana Barcelona","ABP Sants-Montjuïc","10","47","1","3"
"2","febrer","2011","RP Metropolitana Barcelona","ABP Les Corts","1","9",,
"2","febrer","2011","RP Metropolitana Barcelona","ABP Sarrià-Sant Gervasi","3","1",,"1"
"2","febrer","2011","RP Metropolitana Barcelona","ABP Gràcia","1","6",,
"2","febrer","2011","RP Metropolitana Barcelona","ABP Horta-Guinardó","2","6",,
"2","febrer","2011","RP Metropolitana Barcelona","ABP Nou Barris",,"1",,
"2","febrer","2011","RP Metropolitana Barcelona","ABP Sant Andreu","1","14",,
"2","febrer","2011","RP Metropolitana Barcelona","ABP Barcelona",,"2",,"1"
"2","febrer","2011","RP Metropolitana Sud","ABP Martorell","1",,,"2"
"2","febrer","2011","RP Metropolitana Sud","ABP Sant Feliu de Llobregat",,,,"2"
"2","febrer","2011","RP Metropolitana Sud","ABP Garraf",,,,"1"
"2","febrer","2011","RP Metropolitana Sud","ABP l'Hospitalet de Llobregat",,"10",,
"2","febrer","2011","RP Metropolitana Sud","ABP el Prat de Llobregat","1",,,"6"
"2","febrer","2011","RP Metropolitana Sud","ABP Sant Boi de Llobregat",,,,"2"
"2","febrer","2011","RP Metropolitana Sud","ABP Cornellà de Llobregat",,,,"2"
"2","febrer","2011","RP Metropolitana Sud","ABP Esplugues de Llobregat","1","1",,
"2","febrer","2011","RP Metropolitana Nord","ABP Arenys de Mar",,,,"1"
"2","febrer","2011","RP Metropolitana Nord","ABP Premià de Mar","1",,,
"2","febrer","2011","RP Metropolitana Nord","ABP Granollers",,,,"2"
"2","febrer","2011","RP Metropolitana Nord","ABP Mollet del Vallès","1",,,"3"
"2","febrer","2011","RP Metropolitana Nord","ABP Badalona","3","3",,
"2","febrer","2011","RP Metropolitana Nord","ABP Cerdanyola","1","1",,"1"
"2","febrer","2011","RP Metropolitana Nord","ABP Rubí","2",,,"1"
"2","febrer","2011","RP Metropolitana Nord","ABP Sabadell",,,,"2"
"2","febrer","2011","RP Metropolitana Nord","ABP Santa Coloma de Gramenet",,"3",,
"2","febrer","2011","RP Pirineu Occidental","ABP Pallars Jussà - Pallars Sobirà","1",,,
"2","febrer","2011","RP Ponent","ABP Segrià - Garrigues - Pla d'Urgell",,,,"1"
"2","febrer","2011","RP Camp de Tarragona","ABP Baix Camp - Priorat","3",,,"1"
"2","febrer","2011","RP Camp de Tarragona","ABP Baix Penedès",,,,"1"
"2","febrer","2011","RP Camp de Tarragona","ABP Tarragonès","2",,,"3"
"3","març","2011","RP Central","ABP Bages","1",,,"1"
"3","març","2011","RP Terres de l'Ebre","ABP Baix Ebre",,,,"1"
"3","març","2011","RP Girona","ABP Baix Empordà - La Bisbal","1",,,
"3","març","2011","RP Girona","ABP Baix Empordà - Sant Feliu","1",,,
"3","març","2011","RP Metropolitana Barcelona","ABP Sant Martí","1","21","1",
"3","març","2011","RP Metropolitana Barcelona","ABP Ciutat Vella","1","60",,"1"
"3","març","2011","RP Metropolitana Barcelona","ABP Eixample","39","213","1","6"
"3","març","2011","RP Metropolitana Barcelona","ABP Sants-Montjuïc","10","60",,"9"
"3","març","2011","RP Metropolitana Barcelona","ABP Les Corts","2","6",,
"3","març","2011","RP Metropolitana Barcelona","ABP Sarrià-Sant Gervasi","3",,,"1"
"3","març","2011","RP Metropolitana Barcelona","ABP Gràcia","2","4",,
"3","març","2011","RP Metropolitana Barcelona","ABP Horta-Guinardó",,"5",,
"3","març","2011","RP Metropolitana Barcelona","ABP Nou Barris",,"3",,
"3","març","2011","RP Metropolitana Barcelona","ABP Sant Andreu",,"14",,"1"
"3","març","2011","RP Metropolitana Barcelona","ABP Barcelona","2","4",,"2"
"3","març","2011","RP Metropolitana Sud","ABP Alt Penedès","1",,,"1"
"3","març","2011","RP Metropolitana Sud","ABP Martorell",,,,"3"
"3","març","2011","RP Metropolitana Sud","ABP Gavà","1",,,"1"
"3","març","2011","RP Metropolitana Sud","ABP Sant Feliu de Llobregat",,,,"2"
"3","març","2011","RP Metropolitana Sud","ABP Garraf",,,,"3"
"3","març","2011","RP Metropolitana Sud","ABP l'Hospitalet de Llobregat",,"13",,"3"
"3","març","2011","RP Metropolitana Sud","ABP el Prat de Llobregat","6",,,"5"
"3","març","2011","RP Metropolitana Sud","ABP Sant Boi de Llobregat",,,,"1"
"3","març","2011","RP Metropolitana Nord","ABP Arenys de Mar",,,,"2"
"3","març","2011","RP Metropolitana Nord","ABP Mataró","1",,,
"3","març","2011","RP Metropolitana Nord","ABP Badalona",,"8","2","1"
"3","març","2011","RP Metropolitana Nord","ABP Cerdanyola",,,,"1"
"3","març","2011","RP Metropolitana Nord","ABP Rubí","1",,,"5"
"3","març","2011","RP Metropolitana Nord","ABP Sabadell",,,,"2"
"3","març","2011","RP Metropolitana Nord","ABP Terrassa",,,,"2"
"3","març","2011","RP Metropolitana Nord","ABP Santa Coloma de Gramenet",,"6",,
"3","març","2011","RP Ponent","ABP Segrià - Garrigues - Pla d'Urgell","2",,,
"3","març","2011","RP Camp de Tarragona","ABP Baix Camp - Priorat","2",,,
"3","març","2011","RP Camp de Tarragona","ABP Baix Penedès",,,,"1"
"3","març","2011","RP Camp de Tarragona","ABP Tarragonès",,,,"2"
"4","abril","2011","RP Central","ABP Osona",,,,"1"
"4","abril","2011","RP Central","ABP Bages",,,,"1"
"4","abril","2011","RP Terres de l'Ebre","ABP Baix Ebre",,,,"1"
"4","abril","2011","RP Terres de l'Ebre","ABP Terra Alta - Ribera d'Ebre",,,,"1"
"4","abril","2011","RP Girona","ABP Gironès - Pla de l'Estany","1",,,"2"
"4","abril","2011","RP Girona","ABP Garrotxa","1",,,
"4","abril","2011","RP Metropolitana Barcelona","ABP Sant Martí","1","33",,"2"
"4","abril","2011","RP Metropolitana Barcelona","ABP Ciutat Vella","5","83",,
"4","abril","2011","RP Metropolitana Barcelona","ABP Eixample","33","218","4","4"
"4","abril","2011","RP Metropolitana Barcelona","ABP Sants-Montjuïc","13","66",,"4"
"4","abril","2011","RP Metropolitana Barcelona","ABP Les Corts","1","3",,
"4","abril","2011","RP Metropolitana Barcelona","ABP Sarrià-Sant Gervasi","1",,,"1"
"4","abril","2011","RP Metropolitana Barcelona","ABP Gràcia","2","7",,"2"
"4","abril","2011","RP Metropolitana Barcelona","ABP Horta-Guinardó","1","9",,
"4","abril","2011","RP Metropolitana Barcelona","ABP Nou Barris",,"8",,
"4","abril","2011","RP Metropolitana Barcelona","ABP Sant Andreu","1","12",,
"4","abril","2011","RP Metropolitana Barcelona","ABP Barcelona","3","3",,"4"
"4","abril","2011","RP Metropolitana Sud","ABP Alt Penedès","2",,,"3"
"4","abril","2011","RP Metropolitana Sud","ABP Martorell",,,,"6"
"4","abril","2011","RP Metropolitana Sud","ABP Gavà",,,,"2"
"4","abril","2011","RP Metropolitana Sud","ABP Garraf",,,,"4"
"4","abril","2011","RP Metropolitana Sud","ABP l'Hospitalet de Llobregat",,"13",,"1"
"4","abril","2011","RP Metropolitana Sud","ABP el Prat de Llobregat","8",,,"8"
"4","abril","2011","RP Metropolitana Sud","ABP Cornellà de Llobregat","1","1",,"1"
"4","abril","2011","RP Metropolitana Sud","ABP Esplugues de Llobregat",,"1",,
"4","abril","2011","RP Metropolitana Nord","ABP Arenys de Mar",,,,"4"
"4","abril","2011","RP Metropolitana Nord","ABP Mataró",,,,"2"
"4","abril","2011","RP Metropolitana Nord","ABP Premià de Mar",,,,"1"
"4","abril","2011","RP Metropolitana Nord","ABP Granollers","2",,,"1"
"4","abril","2011","RP Metropolitana Nord","ABP Mollet del Vallès",,,,"3"
"4","abril","2011","RP Metropolitana Nord","ABP Badalona","1","5",,"2"
"4","abril","2011","RP Metropolitana Nord","ABP Cerdanyola",,,,"2"
"4","abril","2011","RP Metropolitana Nord","ABP Rubí","1",,,"5"
"4","abril","2011","RP Metropolitana Nord","ABP Sabadell",,,,"2"
"4","abril","2011","RP Metropolitana Nord","ABP Santa Coloma de Gramenet",,"2",,
"4","abril","2011","RP Ponent","ABP Segrià - Garrigues - Pla d'Urgell","2",,,
"4","abril","2011","RP Camp de Tarragona","ABP Alt Camp - C. de Barberà",,,,"4"
"4","abril","2011","RP Camp de Tarragona","ABP Baix Camp - Priorat","3",,,"5"
"4","abril","2011","RP Camp de Tarragona","ABP Tarragonès","4",,,"6"
"5","maig","2011","RP Terres de l'Ebre","ABP Terra Alta - Ribera d'Ebre","1",,,
"5","maig","2011","RP Girona","ABP Gironès - Pla de l'Estany","3",,,
"5","maig","2011","RP Girona","ABP Alt Empordà - Roses","1",,,"1"
"5","maig","2011","RP Girona","ABP Baix Empordà - La Bisbal","1",,,
"5","maig","2011","RP Girona","ABP Selva Litoral","3",,,
"5","maig","2011","RP Girona","ABP Selva Interior","2",,,
"5","maig","2011","RP Metropolitana Barcelona","ABP Sant Martí","4","32",,
"5","maig","2011","RP Metropolitana Barcelona","ABP Ciutat Vella","4","96","1",
"5","maig","2011","RP Metropolitana Barcelona","ABP Eixample","49","244","1","6"
"5","maig","2011","RP Metropolitana Barcelona","ABP Sants-Montjuïc","23","94",,"7"
"5","maig","2011","RP Metropolitana Barcelona","ABP Les Corts","2","8",,
"5","maig","2011","RP Metropolitana Barcelona","ABP Sarrià-Sant Gervasi","2","1",,"2"
"5","maig","2011","RP Metropolitana Barcelona","ABP Gràcia","1","10",,
"5","maig","2011","RP Metropolitana Barcelona","ABP Horta-Guinardó",,"2",,
"5","maig","2011","RP Metropolitana Barcelona","ABP Nou Barris","2","4",,
"5","maig","2011","RP Metropolitana Barcelona","ABP Sant Andreu",,"7",,
"5","maig","2011","RP Metropolitana Barcelona","ABP Barcelona","2","6",,"5"
"5","maig","2011","RP Metropolitana Sud","ABP Alt Penedès","1",,,"4"
"5","maig","2011","RP Metropolitana Sud","ABP Martorell",,,,"4"
"5","maig","2011","RP Metropolitana Sud","ABP Gavà","2",,,
"5","maig","2011","RP Metropolitana Sud","ABP Sant Feliu de Llobregat",,,,"2"
"5","maig","2011","RP Metropolitana Sud","ABP Garraf","1",,,"2"
"5","maig","2011","RP Metropolitana Sud","ABP l'Hospitalet de Llobregat","2","13",,"1"
"5","maig","2011","RP Metropolitana Sud","ABP el Prat de Llobregat","7",,"1","8"
"5","maig","2011","RP Metropolitana Sud","ABP Sant Boi de Llobregat",,,,"2"
"5","maig","2011","RP Metropolitana Sud","ABP Cornellà de Llobregat",,"1",,
"5","maig","2011","RP Metropolitana Sud","ABP Esplugues de Llobregat",,"2",,
"5","maig","2011","RP Metropolitana Nord","ABP Arenys de Mar",,,,"1"
"5","maig","2011","RP Metropolitana Nord","ABP Mataró","1",,,
"5","maig","2011","RP Metropolitana Nord","ABP Granollers","1",,,"1"
"5","maig","2011","RP Metropolitana Nord","ABP Badalona","1","6",,
"5","maig","2011","RP Metropolitana Nord","ABP Cerdanyola",,,,"1"
"5","maig","2011","RP Metropolitana Nord","ABP Rubí",,,,"1"
"5","maig","2011","RP Metropolitana Nord","ABP Sabadell",,,,"1"
"5","maig","2011","RP Metropolitana Nord","ABP Santa Coloma de Gramenet","2","3",,
"5","maig","2011","RP Ponent","ABP Segrià - Garrigues - Pla d'Urgell","2",,,"2"
"5","maig","2011","RP Camp de Tarragona","ABP Alt Camp - C. de Barberà",,,,"3"
"5","maig","2011","RP Camp de Tarragona","ABP Baix Camp - Priorat","1",,,"2"
"5","maig","2011","RP Camp de Tarragona","ABP Tarragonès","1",,,"4"
"6","juny","2011","RP Central","ABP Bages",,,,"1"
"6","juny","2011","RP Terres de l'Ebre","ABP Baix Ebre",,,,"1"
"6","juny","2011","RP Terres de l'Ebre","ABP Montsià",,,,"1"
"6","juny","2011","RP Girona","ABP Gironès - Pla de l'Estany","1",,,"1"
"6","juny","2011","RP Girona","ABP Alt Empordà - Figueres","1",,,
"6","juny","2011","RP Girona","ABP Selva Litoral","5",,,
"6","juny","2011","RP Metropolitana Barcelona","ABP Sant Martí","1","31","2","2"
"6","juny","2011","RP Metropolitana Barcelona","ABP Ciutat Vella","4","84","1","1"
"6","juny","2011","RP Metropolitana Barcelona","ABP Eixample","35","210","3","9"
"6","juny","2011","RP Metropolitana Barcelona","ABP Sants-Montjuïc","12","111",,"13"
"6","juny","2011","RP Metropolitana Barcelona","ABP Les Corts",,"5",,
"6","juny","2011","RP Metropolitana Barcelona","ABP Sarrià-Sant Gervasi","2","1","1",
"6","juny","2011","RP Metropolitana Barcelona","ABP Gràcia",,"6",,
"6","juny","2011","RP Metropolitana Barcelona","ABP Horta-Guinardó",,"4",,
"6","juny","2011","RP Metropolitana Barcelona","ABP Nou Barris",,"3",,
"6","juny","2011","RP Metropolitana Barcelona","ABP Sant Andreu","1","5",,
"6","juny","2011","RP Metropolitana Barcelona","ABP Barcelona",,"9",,"7"
"6","juny","2011","RP Metropolitana Sud","ABP Martorell",,,,"1"
"6","juny","2011","RP Metropolitana Sud","ABP Gavà","2",,,"2"
"6","juny","2011","RP Metropolitana Sud","ABP Garraf","1",,,"2"
"6","juny","2011","RP Metropolitana Sud","ABP l'Hospitalet de Llobregat","1","13",,"2"
"6","juny","2011","RP Metropolitana Sud","ABP el Prat de Llobregat","11",,"2","20"
"6","juny","2011","RP Metropolitana Sud","ABP Cornellà de Llobregat",,"2",,"1"
"6","juny","2011","RP Metropolitana Sud","ABP Esplugues de Llobregat","1",,,
"6","juny","2011","RP Metropolitana Nord","ABP Arenys de Mar",,,,"1"
"6","juny","2011","RP Metropolitana Nord","ABP Mataró",,,,"1"
"6","juny","2011","RP Metropolitana Nord","ABP Premià de Mar",,,,"1"
"6","juny","2011","RP Metropolitana Nord","ABP Granollers","1",,,"3"
"6","juny","2011","RP Metropolitana Nord","ABP Badalona",,"3",,"1"
"6","juny","2011","RP Metropolitana Nord","ABP Cerdanyola","1",,,"1"
"6","juny","2011","RP Metropolitana Nord","ABP Rubí",,,,"2"
"6","juny","2011","RP Metropolitana Nord","ABP Sabadell",,,,"2"
"6","juny","2011","RP Metropolitana Nord","ABP Terrassa",,,,"1"
"6","juny","2011","RP Metropolitana Nord","ABP Santa Coloma de Gramenet",,"5",,
"6","juny","2011","RP Camp de Tarragona","ABP Alt Camp - C. de Barberà","2",,,"1"
"6","juny","2011","RP Camp de Tarragona","ABP Baix Camp - Priorat","1",,,"1"
"6","juny","2011","RP Camp de Tarragona","ABP Baix Penedès",,,,"1"
"6","juny","2011","RP Camp de Tarragona","ABP Tarragonès","9",,,
"7","juliol","2011","RP Central","ABP Osona",,,,"2"
"7","juliol","2011","RP Central","ABP Anoia",,,,"1"
"7","juliol","2011","RP Central","ABP Bages",,,,"1"
"7","juliol","2011","RP Terres de l'Ebre","ABP Baix Ebre","1",,,
"7","juliol","2011","RP Girona","ABP Gironès - Pla de l'Estany","3",,,"2"
"7","juliol","2011","RP Girona","ABP Alt Empordà - Figueres","1",,,
"7","juliol","2011","RP Girona","ABP Baix Empordà - La Bisbal",,,"1",
"7","juliol","2011","RP Girona","ABP Baix Empordà - Sant Feliu","2",,,
"7","juliol","2011","RP Girona","ABP Selva Litoral","5",,,"3"
"7","juliol","2011","RP Girona","ABP Selva Interior",,,,"1"
"7","juliol","2011","RP Metropolitana Barcelona","ABP Sant Martí",,"15",,"1"
"7","juliol","2011","RP Metropolitana Barcelona","ABP Ciutat Vella","1","75",,
"7","juliol","2011","RP Metropolitana Barcelona","ABP Eixample","50","185",,"4"
"7","juliol","2011","RP Metropolitana Barcelona","ABP Sants-Montjuïc","12","79",,"11"
"7","juliol","2011","RP Metropolitana Barcelona","ABP Les Corts","2","9",,
"7","juliol","2011","RP Metropolitana Barcelona","ABP Sarrià-Sant Gervasi","2","1","1","1"
"7","juliol","2011","RP Metropolitana Barcelona","ABP Gràcia","4","14",,
"7","juliol","2011","RP Metropolitana Barcelona","ABP Horta-Guinardó","1","2",,
"7","juliol","2011","RP Metropolitana Barcelona","ABP Nou Barris",,"3",,
"7","juliol","2011","RP Metropolitana Barcelona","ABP Sant Andreu",,"13","1",
"7","juliol","2011","RP Metropolitana Barcelona","ABP Barcelona","2","11",,"10"
"7","juliol","2011","RP Metropolitana Sud","ABP Alt Penedès",,,,"3"
"7","juliol","2011","RP Metropolitana Sud","ABP Gavà","1",,,
"7","juliol","2011","RP Metropolitana Sud","ABP Sant Feliu de Llobregat",,,,"1"
"7","juliol","2011","RP Metropolitana Sud","ABP Garraf",,,,"2"
"7","juliol","2011","RP Metropolitana Sud","ABP l'Hospitalet de Llobregat","2","13",,
"7","juliol","2011","RP Metropolitana Sud","ABP el Prat de Llobregat","8","1","5","24"
"7","juliol","2011","RP Metropolitana Sud","ABP Sant Boi de Llobregat",,,,"4"
"7","juliol","2011","RP Metropolitana Sud","ABP Cornellà de Llobregat","1","2",,
"7","juliol","2011","RP Metropolitana Sud","ABP Esplugues de Llobregat",,"1",,
"7","juliol","2011","RP Metropolitana Nord","ABP Arenys de Mar","1",,,"5"
"7","juliol","2011","RP Metropolitana Nord","ABP Granollers","1",,,"1"
"7","juliol","2011","RP Metropolitana Nord","ABP Mollet del Vallès","2",,,
"7","juliol","2011","RP Metropolitana Nord","ABP Badalona","1","7",,"2"
"7","juliol","2011","RP Metropolitana Nord","ABP Cerdanyola",,,,"2"
"7","juliol","2011","RP Metropolitana Nord","ABP Rubí",,,,"1"
"7","juliol","2011","RP Metropolitana Nord","ABP Terrassa",,,"1","2"
"7","juliol","2011","RP Metropolitana Nord","ABP Santa Coloma de Gramenet",,"4",,
"7","juliol","2011","RP Ponent","ABP Segrià - Garrigues - Pla d'Urgell","2",,,"2"
"7","juliol","2011","RP Camp de Tarragona","ABP Baix Camp - Priorat","2",,,"2"
"7","juliol","2011","RP Camp de Tarragona","ABP Baix Penedès",,,,"3"
"7","juliol","2011","RP Camp de Tarragona","ABP Tarragonès","14",,,"10"
"8","agost","2011","RP Central","ABP Bages","1",,,
"8","agost","2011","RP Terres de l'Ebre","ABP Montsià","1",,,
"8","agost","2011","RP Girona","ABP Gironès - Pla de l'Estany","1",,,
"8","agost","2011","RP Girona","ABP Alt Empordà - Figueres",,,,"2"
"8","agost","2011","RP Girona","ABP Baix Empordà - La Bisbal","1",,,
"8","agost","2011","RP Girona","ABP Selva Litoral","7",,,"1"
"8","agost","2011","RP Metropolitana Barcelona","ABP Sant Martí","1","35",,"2"
"8","agost","2011","RP Metropolitana Barcelona","ABP Ciutat Vella","7","90","2",
"8","agost","2011","RP Metropolitana Barcelona","ABP Eixample","45","167","1","4"
"8","agost","2011","RP Metropolitana Barcelona","ABP Sants-Montjuïc","15","74","1","6"
"8","agost","2011","RP Metropolitana Barcelona","ABP Les Corts","2","5",,
"8","agost","2011","RP Metropolitana Barcelona","ABP Sarrià-Sant Gervasi",,"2","1","1"
"8","agost","2011","RP Metropolitana Barcelona","ABP Gràcia","1","18",,
"8","agost","2011","RP Metropolitana Barcelona","ABP Horta-Guinardó",,"3","1",
"8","agost","2011","RP Metropolitana Barcelona","ABP Nou Barris",,"4",,
"8","agost","2011","RP Metropolitana Barcelona","ABP Sant Andreu","4","4",,"1"
"8","agost","2011","RP Metropolitana Barcelona","ABP Barcelona","3","8",,"4"
"8","agost","2011","RP Metropolitana Sud","ABP Alt Penedès","1",,,"1"
"8","agost","2011","RP Metropolitana Sud","ABP Martorell",,,"1",
"8","agost","2011","RP Metropolitana Sud","ABP Gavà","1",,"2",
"8","agost","2011","RP Metropolitana Sud","ABP Garraf",,,,"1"
"8","agost","2011","RP Metropolitana Sud","ABP l'Hospitalet de Llobregat","1","13",,"1"
"8","agost","2011","RP Metropolitana Sud","ABP el Prat de Llobregat","12",,"2","4"
"8","agost","2011","RP Metropolitana Sud","ABP Sant Boi de Llobregat",,,,"1"
"8","agost","2011","RP Metropolitana Sud","ABP Cornellà de Llobregat",,"3",,
"8","agost","2011","RP Metropolitana Sud","ABP Esplugues de Llobregat","1","3",,
"8","agost","2011","RP Metropolitana Nord","ABP Arenys de Mar","1",,,"4"
"8","agost","2011","RP Metropolitana Nord","ABP Granollers","3",,,"1"
"8","agost","2011","RP Metropolitana Nord","ABP Badalona",,"5",,
"8","agost","2011","RP Metropolitana Nord","ABP Cerdanyola",,,,"1"
"8","agost","2011","RP Metropolitana Nord","ABP Rubí",,,,"1"
"8","agost","2011","RP Metropolitana Nord","ABP Sabadell","1",,,
"8","agost","2011","RP Metropolitana Nord","ABP Terrassa",,,,"1"
"8","agost","2011","RP Metropolitana Nord","ABP Santa Coloma de Gramenet",,"3","1",
"8","agost","2011","RP Camp de Tarragona","ABP Baix Camp - Priorat","1",,,
"8","agost","2011","RP Camp de Tarragona","ABP Tarragonès","8",,,"5"
"9","setembre","2011","RP Central","ABP Osona","1",,,
"9","setembre","2011","RP Central","ABP Bages",,,,"2"
"9","setembre","2011","RP Terres de l'Ebre","ABP Baix Ebre",,,,"1"
"9","setembre","2011","RP Girona","ABP Gironès - Pla de l'Estany","1",,"1","3"
"9","setembre","2011","RP Girona","ABP Alt Empordà - Figueres",,,,"3"
"9","setembre","2011","RP Girona","ABP Alt Empordà - Roses","1",,,
"9","setembre","2011","RP Girona","ABP Baix Empordà - Sant Feliu","1",,,
"9","setembre","2011","RP Girona","ABP Selva Litoral","4",,,"1"
"9","setembre","2011","RP Girona","ABP Selva Interior","1",,,
"9","setembre","2011","RP Metropolitana Barcelona","ABP Sant Martí","2","28","1",
"9","setembre","2011","RP Metropolitana Barcelona","ABP Ciutat Vella","3","47",,
"9","setembre","2011","RP Metropolitana Barcelona","ABP Eixample","37","111","2","8"
"9","setembre","2011","RP Metropolitana Barcelona","ABP Sants-Montjuïc","19","50",,"8"
"9","setembre","2011","RP Metropolitana Barcelona","ABP Les Corts","1","8",,
"9","setembre","2011","RP Metropolitana Barcelona","ABP Sarrià-Sant Gervasi","2","1","1","1"
"9","setembre","2011","RP Metropolitana Barcelona","ABP Gràcia","3","11",,
"9","setembre","2011","RP Metropolitana Barcelona","ABP Horta-Guinardó","1","2",,
"9","setembre","2011","RP Metropolitana Barcelona","ABP Nou Barris","1","4",,
"9","setembre","2011","RP Metropolitana Barcelona","ABP Sant Andreu","2","9",,
"9","setembre","2011","RP Metropolitana Barcelona","ABP Barcelona",,"5",,"2"
"9","setembre","2011","RP Metropolitana Sud","ABP Alt Penedès",,,,"1"
"9","setembre","2011","RP Metropolitana Sud","ABP Gavà",,,,"1"
"9","setembre","2011","RP Metropolitana Sud","ABP Garraf",,,,"2"
"9","setembre","2011","RP Metropolitana Sud","ABP l'Hospitalet de Llobregat","3","13",,"3"
"9","setembre","2011","RP Metropolitana Sud","ABP el Prat de Llobregat","11",,"2","21"
"9","setembre","2011","RP Metropolitana Sud","ABP Cornellà de Llobregat",,"1",,"1"
"9","setembre","2011","RP Metropolitana Sud","ABP Esplugues de Llobregat","1",,,
"9","setembre","2011","RP Metropolitana Nord","ABP Arenys de Mar",,,,"1"
"9","setembre","2011","RP Metropolitana Nord","ABP Mataró","1",,,
"9","setembre","2011","RP Metropolitana Nord","ABP Premià de Mar",,,,"1"
"9","setembre","2011","RP Metropolitana Nord","ABP Granollers","1",,,"2"
"9","setembre","2011","RP Metropolitana Nord","ABP Badalona","1","7","1",
"9","setembre","2011","RP Metropolitana Nord","ABP Cerdanyola","1",,,"1"
"9","setembre","2011","RP Metropolitana Nord","ABP Rubí",,,,"1"
"9","setembre","2011","RP Metropolitana Nord","ABP Sabadell","1",,,"1"
"9","setembre","2011","RP Metropolitana Nord","ABP Terrassa","1",,,
"9","setembre","2011","RP Metropolitana Nord","ABP Santa Coloma de Gramenet","1","1",,
"9","setembre","2011","RP Ponent","ABP Segrià - Garrigues - Pla d'Urgell","1",,,"1"
"9","setembre","2011","RP Camp de Tarragona","ABP Alt Camp - C. de Barberà",,,,"1"
"9","setembre","2011","RP Camp de Tarragona","ABP Baix Camp - Priorat","1",,,
"9","setembre","2011","RP Camp de Tarragona","ABP Baix Penedès",,,,"1"
"9","setembre","2011","RP Camp de Tarragona","ABP Tarragonès","7",,,"8"
"10","octubre","2011","RP Girona","ABP Gironès - Pla de l'Estany","1",,,"1"
"10","octubre","2011","RP Girona","ABP Alt Empordà - Figueres",,,,"1"
"10","octubre","2011","RP Girona","ABP Baix Empordà - La Bisbal","1",,,
"10","octubre","2011","RP Girona","ABP Selva Litoral","2",,,"1"
