"Mes","Nom mes","Any","Regió Policial (RP)","Àrea Bàsica Policial (ABP)","Aeroport","Tipus de fet","Nombre"
"5","maig","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","94"
"5","maig","2017","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","3"
"4","abril","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","1"
"4","abril","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","56"
"4","abril","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","69"
"4","abril","2017","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"3","març","2017","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt (lleu)","1"
"3","març","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","1"
"3","març","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","3"
"3","març","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","56"
"3","març","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","68"
"2","febrer","2017","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Robatori amb força interior vehicle","1"
"2","febrer","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","1"
"2","febrer","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","54"
"2","febrer","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","61"
"1","gener","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","2"
"1","gener","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","1"
"1","gener","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","52"
"1","gener","2017","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","73"
"1","gener","2017","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"1","gener","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","36"
"12","desembre","2016","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt (lleu)","1"
"12","desembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","2"
"12","desembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"12","desembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","2"
"12","desembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","60"
"12","desembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","94"
"12","desembre","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"11","novembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","1"
"11","novembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"11","novembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","50"
"11","novembre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","82"
"10","octubre","2016","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt (lleu)","1"
"10","octubre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","108"
"10","octubre","2016","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","66"
