"Mes","Nom mes","Any","Regió Policial (RP)","Àrea Bàsica Policial (ABP)","Aeroport","Tipus de fet","Nombre"
"8","agost","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","5"
"8","agost","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","2"
"4","abril","2013","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"4","abril","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","33"
"4","abril","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","2"
"4","abril","2013","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt","1"
"3","març","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","33"
"3","març","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","3"
"3","març","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","1"
"2","febrer","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"2","febrer","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","1"
"2","febrer","2013","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"2","febrer","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","27"
"1","gener","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","1"
"1","gener","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","27"
"1","gener","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"12","desembre","2013","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"12","desembre","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","49"
"12","desembre","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"12","desembre","2013","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
